sample_id,question_id,dataset_name,split_name,correct_or_not,hallucinated_or_not,generated_answer,ground_truth_answer,max_r,mean_r,max_entropy,mean_entropy,trigger_layer,trigger_step,pt_path
751,751,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.7265625,0.7413194444444444,11.9375,4.723018282993327,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/751.pt
2251,2251,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.71875,0.7246817129629629,11.9375,5.223710088864179,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2251.pt
752,752,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.7265625,0.7413194444444444,11.9375,5.29629729028439,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/752.pt
2252,2252,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.71875,0.7246817129629629,11.9375,5.198058940273267,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2252.pt
753,753,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.7265625,0.7413194444444444,11.9375,4.88330094303825,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/753.pt
1501,1501,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.734375,0.7252604166666666,11.9375,5.426543119807697,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1501.pt
2253,2253,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.71875,0.7246817129629629,11.9375,5.269539574978525,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2253.pt
1,1,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.6953125,0.7530381944444444,11.9375,4.740688393340586,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1.pt
754,754,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.7265625,0.7413194444444444,11.9375,5.403559362932795,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/754.pt
1502,1502,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.734375,0.7252604166666666,11.9375,5.4876767988073345,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1502.pt
2254,2254,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.71875,0.7246817129629629,11.9375,5.314754766722563,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2254.pt
2,2,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.6953125,0.7530381944444444,11.9375,5.235110738182468,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2.pt
755,755,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.7265625,0.7413194444444444,11.9375,4.903035692916342,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/755.pt
1503,1503,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.734375,0.7252604166666666,11.9375,4.935635342408207,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1503.pt
2255,2255,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.71875,0.7246817129629629,11.9375,4.820809860910137,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2255.pt
3,3,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.6953125,0.7530381944444444,11.9375,4.810479627772269,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/3.pt
756,756,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.7265625,0.7413194444444444,11.9375,5.294226700718041,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/756.pt
1504,1504,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.734375,0.7252604166666666,11.9375,5.429790813757359,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1504.pt
2256,2256,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.71875,0.7246817129629629,11.9375,5.262653449915982,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2256.pt
4,4,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.6953125,0.7530381944444444,11.9375,5.222460888675289,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/4.pt
757,757,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.671875,0.7434895833333334,11.9375,5.150128747661978,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/757.pt
1505,1505,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.734375,0.7252604166666666,11.9375,5.422879786201646,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1505.pt
2257,2257,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.765625,0.7323495370370371,11.9375,5.26072128592882,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2257.pt
5,5,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.6953125,0.7530381944444444,11.9375,5.2478098122210906,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/5.pt
758,758,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.671875,0.7434895833333334,11.9375,5.254759758186005,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/758.pt
1506,1506,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.734375,0.7252604166666666,11.9375,5.468766472441749,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1506.pt
2258,2258,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.765625,0.7323495370370371,11.9375,5.388499392391418,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2258.pt
759,759,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.671875,0.7434895833333334,11.9375,5.315320692183699,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/759.pt
6,6,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.6953125,0.7530381944444444,11.9375,5.247292339269734,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/6.pt
1507,1507,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.75,0.7181712962962963,11.9375,4.787029620472823,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1507.pt
2259,2259,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.765625,0.7323495370370371,11.9375,4.970524800773765,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2259.pt
760,760,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.671875,0.7434895833333334,11.9375,5.305771530824727,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/760.pt
7,7,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.734375,0.7162905092592593,11.9375,4.814071770376188,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/7.pt
1508,1508,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.75,0.7181712962962963,11.9375,5.302267205526613,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1508.pt
2260,2260,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.765625,0.7323495370370371,11.9375,5.273134107370807,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2260.pt
761,761,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.671875,0.7434895833333334,11.9375,4.7947832407080595,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/761.pt
8,8,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.734375,0.7162905092592593,11.9375,5.190946171623997,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/8.pt
1509,1509,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.75,0.7181712962962963,11.9375,4.8762214346635115,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1509.pt
2261,2261,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.765625,0.7323495370370371,11.9375,4.861892988355684,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2261.pt
762,762,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.671875,0.7434895833333334,11.9375,5.2381717443097635,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/762.pt
9,9,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.734375,0.7162905092592593,11.9375,4.885417557502517,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/9.pt
1510,1510,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.75,0.7181712962962963,11.9375,5.257910568359185,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1510.pt
2262,2262,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.765625,0.7323495370370371,11.9375,5.330159355601248,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2262.pt
10,10,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.734375,0.7162905092592593,11.9375,5.26253821766571,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/10.pt
763,763,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.6875,0.7301793981481481,11.9375,5.401499123697657,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/763.pt
1511,1511,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.75,0.7181712962962963,11.9375,4.85547035848303,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1511.pt
2263,2263,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.703125,0.7152777777777778,11.9375,5.447073949706903,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2263.pt
11,11,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.734375,0.7162905092592593,11.9375,4.666800930893959,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/11.pt
764,764,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.6875,0.7301793981481481,11.9375,5.348597951477508,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/764.pt
1512,1512,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.75,0.7181712962962963,11.9375,5.3151218787918975,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1512.pt
12,12,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.734375,0.7162905092592593,11.9375,5.190215475017011,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/12.pt
2264,2264,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.703125,0.7152777777777778,11.9375,5.465436595298374,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2264.pt
765,765,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.6875,0.7301793981481481,11.9375,5.468684318195019,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/765.pt
1513,1513,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.734375,0.7252604166666666,11.9375,5.086037311818945,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1513.pt
13,13,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.703125,0.7340856481481481,11.9375,4.951484991727661,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/13.pt
2265,2265,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.703125,0.7152777777777778,11.9375,5.020220691725816,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2265.pt
766,766,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.6875,0.7301793981481481,11.9375,5.368967346210287,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/766.pt
14,14,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.703125,0.7340856481481481,11.9375,5.349496713134644,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/14.pt
1514,1514,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.734375,0.7252604166666666,11.9375,5.438060859091467,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1514.pt
2266,2266,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.703125,0.7152777777777778,11.9375,5.46864163150744,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2266.pt
767,767,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.6875,0.7301793981481481,11.9375,5.373204686509343,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/767.pt
15,15,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.703125,0.7340856481481481,11.9375,4.877695470296062,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/15.pt
768,768,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.6875,0.7301793981481481,11.9375,5.387458270801416,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/768.pt
2267,2267,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.703125,0.7152777777777778,11.9375,4.788941352454301,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2267.pt
1515,1515,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.734375,0.7252604166666666,11.9375,4.885330654492965,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1515.pt
16,16,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.703125,0.7340856481481481,11.9375,5.327037219087351,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/16.pt
769,769,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.703125,0.7495659722222222,11.9375,4.862411782849629,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/769.pt
2268,2268,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.703125,0.7152777777777778,11.9375,5.497510571761739,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2268.pt
1516,1516,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.734375,0.7252604166666666,11.9375,5.4580525942405265,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1516.pt
17,17,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.703125,0.7340856481481481,11.9375,5.342314060842666,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/17.pt
770,770,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.703125,0.7495659722222222,11.9375,5.359712323765116,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/770.pt
2269,2269,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.671875,0.74609375,11.9375,5.173372105360864,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2269.pt
1517,1517,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.734375,0.7252604166666666,11.9375,4.934596207574441,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1517.pt
18,18,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.703125,0.7340856481481481,11.9375,5.353908081985569,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/18.pt
771,771,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.703125,0.7495659722222222,11.9375,4.853706280351492,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/771.pt
2270,2270,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.671875,0.74609375,11.9375,5.226597764192398,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2270.pt
1518,1518,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.734375,0.7252604166666666,11.9375,5.353832886981332,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1518.pt
772,772,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.703125,0.7495659722222222,11.9375,5.274518957177423,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/772.pt
19,19,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.7421875,0.7421875,11.9375,5.06734893143034,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/19.pt
2271,2271,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.671875,0.74609375,11.9375,4.767434439039887,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2271.pt
1519,1519,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.734375,0.7427662037037037,11.9375,5.344455066526407,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1519.pt
773,773,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.703125,0.7495659722222222,11.9375,5.257158425551788,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/773.pt
20,20,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.7421875,0.7421875,11.9375,5.317977669479849,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/20.pt
2272,2272,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.671875,0.74609375,11.9375,5.201957783422813,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2272.pt
774,774,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.703125,0.7495659722222222,11.9375,5.328261680902179,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/774.pt
1520,1520,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.734375,0.7427662037037037,11.9375,5.3633218708956,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1520.pt
21,21,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.7421875,0.7421875,11.9375,5.385919159109172,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/21.pt
2273,2273,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.671875,0.74609375,11.9375,5.271281837640063,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2273.pt
775,775,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.7109375,0.7484085648148148,11.9375,4.8303721101150865,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/775.pt
1521,1521,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.734375,0.7427662037037037,11.9375,4.866427500555634,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1521.pt
22,22,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.7421875,0.7421875,11.9375,5.406788962091579,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/22.pt
2274,2274,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.671875,0.74609375,11.9375,5.182060049228861,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2274.pt
776,776,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.7109375,0.7484085648148148,11.9375,5.27832662008737,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/776.pt
23,23,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.7421875,0.7421875,11.9375,5.410323246756514,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/23.pt
1522,1522,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.734375,0.7427662037037037,11.9375,5.365519310654895,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1522.pt
2275,2275,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.71875,0.7462384259259259,11.9375,5.3365049195568774,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2275.pt
777,777,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.7109375,0.7484085648148148,11.9375,4.780286464412407,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/777.pt
24,24,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.7421875,0.7421875,11.9375,5.387302430023267,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/24.pt
1523,1523,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.734375,0.7427662037037037,11.9375,5.514312855008156,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1523.pt
2276,2276,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.71875,0.7462384259259259,11.9375,5.398196111796881,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2276.pt
25,25,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.71875,0.7560763888888888,11.9375,4.737358224321636,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/25.pt
778,778,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.7109375,0.7484085648148148,11.9375,5.232658448411618,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/778.pt
1524,1524,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.734375,0.7427662037037037,11.9375,5.382721842502085,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1524.pt
26,26,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.71875,0.7560763888888888,11.9375,5.287159980347999,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/26.pt
2277,2277,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.71875,0.7462384259259259,11.9375,4.923622191923837,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2277.pt
779,779,coco_POPE_random,coco_POPE_random,0,1,"No,",yes,1.7109375,0.7484085648148148,11.9375,5.281134606086144,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/779.pt
1525,1525,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.7265625,0.7300347222222222,11.9375,4.855097762548885,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1525.pt
27,27,coco_POPE_random,coco_POPE_random,1,0,"Yes,",yes,1.71875,0.7560763888888888,11.9375,4.935879557549103,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/27.pt
2278,2278,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.71875,0.7462384259259259,11.9375,5.342249075147015,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/2278.pt
1526,1526,coco_POPE_random,coco_POPE_random,1,0,"No,",no,1.7265625,0.7300347222222222,11.9375,5.365497894468592,28,1,/mnt/data/ssz/mr/results/Qwen2.5-VL/pope/base/analysis/coco_POPE_random/1526.pt
